バス停ID,バス停名称,バス停名称(英語),バス停コード,説明(日本語),説明(英語),緯度,経度,料金区間ID,乗降場所に関するURL,駅ID,車椅子乗降可能か,標準地域コード
144,神中町１丁目（北）,kaminakachou１choume,"","","",35.969021,136.195816,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
145,御幸県住（南）,miyukikenjuu,"","","",35.979057,136.19326,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
146,神中町３丁目（東）,kaminakachou３choume,"","","",35.973726,136.188712,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
147,鳥羽郵便局前（西）,tobayuubinkyokumae,"","","",35.98613,136.186615,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
148,鳥羽２丁目（西）,toba２choume,"","","",35.988152,136.187683,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
149,東米岡（東）,higashiyoneoka,"","","",35.98613,136.182983,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
150,神明町５丁目（東）,shimmeichou５choume,"","","",35.980957,136.184097,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
151,Ａコープさばえ店前（丸山町１丁目）（北）,Akopusabaetemmae,"","","",35.978344,136.182739,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
152,幸道眼科前（幸町１丁目）（東）,koudougankamae,"","","",35.97459,136.180893,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
153,JR北鯖江駅東口,JRkitasabaehigashiguchi,"","","",35.971252,136.19873,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
154,高年大学,kounendaigaku,"","","",35.962826,136.206955,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
155,橋立,hashitate,"","","",35.965256,136.209534,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
156,青葉台（北）,aobadai,"","","",35.970039,136.211319,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
157,吉谷西（北）,yoshitaninishi,"","","",35.969719,136.214844,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
158,吉谷（北）,yoshitani,"","","",35.969273,136.221085,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
159,吉谷東（北）,yoshitanihigashi,"","","",35.9706,136.224518,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
160,四方谷,shihoudani,"","","",35.977608,136.221466,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
161,南井口,naoiguchi,"","","",35.979511,136.224487,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
162,南井,naoi,"","","",35.982769,136.225906,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
163,大正寺,daishouji,"","","",35.984364,136.228714,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
164,ことぶき荘前（大野北）,kotobukisoumae,"","","",35.976616,136.226868,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
165,別所,bessho,"","","",35.973362,136.241119,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
166,落井,ochii,"","","",35.953896,136.236332,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
167,吉谷東（南）,yoshitanihigashi,"","","",35.970509,136.224518,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
168,吉谷（南）,yoshitani,"","","",35.969177,136.221069,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
169,吉谷西（南）,yoshitaninishi,"","","",35.969635,136.214798,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
170,青葉台（南）,aobadai,"","","",35.969921,136.211258,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
171,みどり町（南）,midorichou,"","","",35.972843,136.175079,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
172,西公園前（南）,nishikouemmae,"","","",35.973019,136.163101,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
173,石田中（南）,ishidanaka,"","","",35.973141,136.158356,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
174,西石田（南）,nishiishida,"","","",35.973282,136.150757,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
175,石田下,ishidashimo,"","","",35.97884,136.152832,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
176,石田上,ishidakami,"","","",35.978741,136.15947,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
177,西番,nishiban,"","","",35.988052,136.168549,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
178,平和台団地,heiwadaidanchi,"","","",35.993099,136.170135,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
179,近松会館（北）,chikamatsukaikan,"","","",35.988445,136.174133,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
180,丸山町４丁目,maruyamachou４choume,"","","",35.984409,136.17688,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
181,中杉本ふれあい会館,nakasugimotofureaikaikan,"","","",35.982357,136.175598,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
182,近松会館（南）,chikamatsukaikan,"","","",35.988289,136.17424,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
183,西石田（北）,nishiishida,"","","",35.973412,136.150635,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
184,石田中（北）,ishidanaka,"","","",35.97324,136.158859,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
185,西公園前（北）,nishikouemmae,"","","",35.973148,136.162842,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
186,みどり町（北）,midorichou,"","","",35.972954,136.174911,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
187,北野町２丁目（東）,kitanochou２choume,"","","",35.967941,136.17865,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
188,北野町１丁目（東）,kitanochou１choume,"","","",35.964226,136.178604,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
189,北野口（南）,kitanoguchi,"","","",35.963867,136.176117,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
190,平井（南）,hirai,"","","",35.964085,136.166397,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
191,あすなろ,asunaro,"","","",35.95562,136.15538,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
192,朝霞（南）,asaka,"","","",35.955498,136.14975,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
193,西和,seiwa,"","","",35.955456,136.144699,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
194,西大井,nishioi,"","","",35.958103,136.138412,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
195,持明寺,jimyouji,"","","",35.960049,136.1465,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
196,持明寺北,jimyoujikita,"","","",35.962456,136.147003,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
197,川去,kawasari,"","","",35.964573,136.142197,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
198,川去町集落センター前,kawasarichoushuurakusentamae,"","","",35.965767,136.143768,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
199,田村,tamura,"","","",35.963787,136.148544,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
200,吉川駐在所前,yoshikawachuuzaishomae,"","","",35.964012,136.157211,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
201,小泉団地,koizumidanchi,"","","",35.968723,136.161011,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
202,平井（北）,hirai,"","","",35.964165,136.166473,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
203,北野口（北）,kitanoguchi,"","","",35.964136,136.176518,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
204,北野町１丁目（西）,kitanochou１choume,"","","",35.964123,136.178513,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
205,北野町２丁目（西）,kitanochou２choume,"","","",35.967922,136.178528,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
206,有定町２丁目（東）,arisadachou２choume,"","","",35.945572,136.176437,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
207,青武台,seibudai,"","","",35.939556,136.172668,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
208,福井高専,fukuikousen,"","","",35.937702,136.171204,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
